Station,Latitude,Longitude,Elevation,Abbreviation
215563,44.9364,-95.7536,300.2,MN
215615,45.8775,-93.3147,310.3,MN
215638,45.5903,-95.8747,347.5,MN
215887,44.3006,-94.4897,271.3,MN
216152,44.7628,-94.9297,335.3,MN
216360,46.9006,-95.0678,437.1,MN
216547,46.6694,-94.1089,381,MN
216565,44.0139,-96.3258,519.7,MN
217087,48.8486,-95.7675,319.1,MN
217405,44.3222,-93.9656,259.1,MN
217460,46.7953,-93.3211,376.1,MN
218419,47.0258,-91.6653,190.5,MN
218618,47.0744,-94.57,429.8,MN
219046,43.7692,-94.1872,338.3,MN
219249,44.2992,-92.6661,300.2,MN
220021,33.83,-88.5214,60.4,MS
220488,34.3061,-89.9806,67.1,MS
220955,34.6628,-88.5797,149.4,MS
221094,31.5447,-90.4581,132.6,MS
221389,32.6714,-90.0361,76.2,MS
221707,34.1864,-90.5572,52.7,MS
221865,31.2503,-89.8361,45.7,MS
221880,33.4678,-88.3847,44.2,MS
221962,34.8792,-88.6178,117.3,MS
222094,31.9461,-90.3775,148.4,MS
223107,32.36,-89.4208,137.2,MS
223605,33.3592,-91.06,38.1,MS
223887,31.2547,-89.3392,117.3,MS
223975,34.8161,-89.9853,115.8,MS
224173,34.8219,-89.4347,147.2,MS
224776,33.0583,-89.5797,125,MS
224939,31.6756,-89.1236,68.6,MS
225247,33.1353,-89.0711,177.1,MS
225987,31.5519,-90.1058,58.2,MS
226009,33.4519,-90.5094,35.7,MS
226177,31.5889,-91.3408,59.4,MS
226718,30.3964,-88.4781,3.7,MS
227111,34.1381,-88.9983,123.4,MS
227128,30.8408,-89.5453,95.4,MS
227132,31.985,-90.9719,36.6,MS
228374,33.4692,-88.7822,56.4,MS
229079,34.3803,-89.5358,124.4,MS
229400,34.1583,-89.6311,94.5,MS
229426,30.2947,-89.3831,2.4,MS
229439,31.6772,-88.6708,61,MS
229793,31.0928,-91.2328,121.9,MS
229860,32.9028,-90.3817,32.6,MS
230204,38.1869,-94.0281,259.7,MO
230856,39.3447,-91.1711,270.4,MO
